datetime,vol,op,comp1p,comp2p,comp3p,hour,day_of_week,month
2023-05-05 18:00:00,150.12,1.741416,1.718333333,1.746,1.732166667,18,4,5
2023-05-05 19:00:00,65.43,1.734009,1.7335,1.757,1.744,19,4,5
2023-05-05 20:00:00,99.87,1.735496,1.719166667,1.744,1.735833333,20,4,5
2023-05-05 21:00:00,163.99,1.703199,1.698,1.7205,1.719,21,4,5
2023-05-06 07:00:00,44.23,1.808979,1.713237288,1.728152542,1.719,7,5,5
2023-05-06 09:00:00,11.24,1.779645,1.7665,1.836,1.824,9,5,5
2023-05-06 10:00:00,191.37,1.788848,1.768166667,1.823,1.793666667,10,5,5
2023-05-06 11:00:00,106.92,1.738917,1.726833333,1.765,1.746666667,11,5,5
2023-05-06 12:00:00,99.71,1.769024,1.754,1.805,1.795666667,12,5,5
2023-05-06 13:00:00,100.51,1.77905,1.7735,1.7985,1.7925,13,5,5
2023-05-06 14:00:00,88.2,1.759058,1.733666667,1.778,1.765333333,14,5,5
2023-05-06 15:00:00,109.26,1.78378,1.767,1.819,1.795,15,5,5
2023-05-06 16:00:00,114.56,1.772148,1.747666667,1.7825,1.764333333,16,5,5
2023-05-06 17:00:00,26.99,1.749062,1.740666667,1.7775,1.764,17,5,5
2023-05-06 18:00:00,91.44,1.738917,1.735,1.752,1.749666667,18,5,5
2023-05-06 19:00:00,74.09,1.759098,1.7535,1.778,1.764,19,5,5
2023-05-06 20:00:00,69.95,1.75882,1.739333333,1.764,1.756,20,5,5
2023-05-06 21:00:00,165.1,1.744591,1.729,1.74,1.739,21,5,5
2023-05-07 08:00:00,83.09,1.755607,1.726966102,1.736457627,1.75459322,8,6,5
2023-05-07 09:00:00,14.16,1.758939,1.74,1.786,1.774,9,6,5
2023-05-07 10:00:00,120.27,1.752077,1.750166667,1.7875,1.761333333,10,6,5
2023-05-07 11:00:00,257.2,1.727557,1.729166667,1.741,1.737,11,6,5
2023-05-07 12:00:00,97.63,1.768975,1.7455,1.797,1.785666667,12,6,5
2023-05-07 13:00:00,134.82,1.769102,1.7635,1.7885,1.7825,13,6,5
2023-05-07 14:00:00,133.65,1.738888,1.737333333,1.763,1.766333333,14,6,5
2023-05-07 15:00:00,35.08,1.789046,1.759,1.789,1.803,15,6,5
2023-05-07 16:00:00,79.37,1.782263,1.764666667,1.7785,1.768333333,16,6,5
2023-05-07 17:00:00,58.54,1.768935,1.760666667,1.774,1.784,17,6,5
2023-05-07 18:00:00,48.98,1.758939,1.753666667,1.767,1.769166667,18,6,5
2023-05-07 19:00:00,11.17,1.798209,1.7535,1.78,1.784,19,6,5
2023-05-07 20:00:00,59.24,1.758999,1.7425,1.7695,1.765166667,20,6,5
2023-05-07 21:00:00,173.41,1.736227,1.724333333,1.731,1.739,21,6,5
2023-05-08 06:00:00,38.96,1.749419,1.745666667,1.764762712,1.739,6,0,5
2023-05-08 07:00:00,23.28,1.808919,1.814666667,1.8185,1.739,7,0,5
2023-05-08 08:00:00,16.6,1.809276,1.783666667,1.803,1.778833333,8,0,5
2023-05-08 09:00:00,62.5,1.824449,1.788166667,1.836,1.824,9,0,5
2023-05-08 10:00:00,55.4,1.809038,1.800166667,1.8255,1.809166667,10,0,5
2023-05-08 14:00:00,70.36,1.735774,1.734333333,1.749,1.743166667,14,0,5
2023-05-08 15:00:00,28.5,1.759058,1.739,1.7695,1.775,15,0,5
2023-05-08 16:00:00,104.86,1.748913,1.744666667,1.754,1.748333333,16,0,5
2023-05-08 17:00:00,131.06,1.746414,1.740666667,1.7675,1.764,17,0,5
2023-05-08 18:00:00,178.18,1.744163,1.734833333,1.75,1.7495,18,0,5
2023-05-08 19:00:00,22.57,1.768935,1.7535,1.768,1.764,19,0,5
2023-05-08 20:00:00,121.28,1.753852,1.739166667,1.7625,1.755833333,20,0,5
2023-05-08 21:00:00,77.1,1.728832,1.718,1.7245,1.739,21,0,5
2023-05-09 06:00:00,59.77,1.768935,1.739,1.758491525,1.739,6,1,5
2023-05-09 07:00:00,57.91,1.818955,1.799,1.829,1.739,7,1,5
2023-05-09 08:00:00,141.47,1.796424,1.7935,1.8155,1.787666667,8,1,5
2023-05-09 10:00:00,31.39,1.818796,1.808,1.8475,1.812,10,1,5
